Title,Company,Location
No title available,Telus Digital,Homeoffice
Werkstudent/in Data Engineer Analyst (50%),Swissgrid AG,Aarau
Data Analyst (100%),Bank CIC (Schweiz) AG,Basel
No title available,No company available,No location available
Senior Data Analyst,Bulgari Horlogerie SA,Neuchâtel
Junior Data Analyst 60 - 100 %,Suva,Luzern
Data Engineer / Data Analyst - Azure IoT (80-100%),SIGA Services AG,Ruswil
Market Data Analyst 80-100% (w/m/d),LGT,Bendern
Pricing & Data Analyst (m/w/d) Marketing & Sales - Pensum 50%,Montagetechnik BERNER AG,Reinach BL
Data Scientist / Analyst (m/w/d),EMS-CHEMIE AG,Domat/Ems
(Senior) Data Science & Data Analytics Consultant 60-100%,Eraneos Switzerland AG,"Zürich, Lausanne, Bern, Basel,"
Data Analyst:in 100%,Wascosa AG,Luzern
Data & AI - Business Analyst / Product Owner,LIONSCOUT GmbH,Zürich
Data Analyst:in und Data Engineer für Service Operations,Swisscard AECS GmbH,8001
Finance Data Analytics & Digitalisation Manager mit Fokus Digitalisierung (80-100%),Swissgrid AG,Aarau
(Senior) Data Science & Data Analytics Consultant 60-100%,Eraneos Switzerland AG,Zürich
Working student in Business Intelligence/ Data analytics (f/m/d),Schneider Electric (Schweiz) AG,Gümlingen
Data Scientist 80-100%,Viseca Payment Services SA,Zürich
Insights Specialist,Red Bull AG,Baar
Fachspezialist/in Digitale Sammlungen (m/w/d),Kanton St. Gallen,St.Gallen
ICT DATA SCIENTIST (W/M/D),Würth IT Switzerland AG,Rorschach
Senior Data Engineer (a) 80-100%,Swiss Casinos,Zürich
Senior Analyst,MCP (Switzerland) GmbH,Baar
Junior Business Analyst (Ref. 2401),Bank J. Safra Sarasin AG,Zürich
No title available,Migros Bank AG,Wallisellen
Analyste Données Exploitation,Transports publics genevois (TPG),Lancy
Data & Communication Specialist,Sommet Education,Crans-Montana
No title available,No company available,No location available
Spezialist:in Customer Analytics,BLS AG,Bern
Data Quality Expert,No company available,Le Brassus
Data Analyst (100%),Bank CIC (Schweiz) AG,Basel
Data Analyst H/F - 100%,Viteos,Neuchâtel 1
HR Data Analyst*in / Shared Services 50% (m/w/d),Endress+Hauser,Reinach
Senior Consultant (w/m) Data & Intelligence Delivery (DID) for Assurance,EY (Ernst & Young AG),Zurich
(Senior) Data Platform Engineer,Digitec Galaxus AG,"Pfingstweidstrasse 60b, Zürich"
Werkstudent/in Data Engineer Analyst (50%),Swissgrid AG,Aarau
"Senior IT Business Analyst Financial Services (part-time possible, all genders)",Accenture,Zürich
Cloud Data Platform Expert/Architect,ELCA Informatik AG,"Zürich, Basel & Bern"
(Senior) Power Platform Expert & Data Scientist (all genders),AXA,Winterthur
Pricing Analyst,Omya AG,Oftringen
Senior Analyst,MCP (Switzerland) GmbH,Baar
(Senior) Data Engineer for IoT Products 80-100% (m/w/d),Spotted by jobs.ch,Zürich
QC Associate Scientist,Swisslinx,Neuchâtel
Business Analyst senior SIRH (f/m/d),Bechtle Suisse SA,Genève
Business Analyst - Requirement Engineer - Consultant - Wirtschaftsinformatiker (w/m),ParMag AG,Deutschschweiz
Business Analyst Public,AKROS AG,"Bern, Biel, Zürich oder Luzern"
